questionText,answerText
"Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family. However, now I am struggling to forget and forgive what happened. I feel like I cannot trust him. Without trust, I cannot stay in this relatio","First of all, my heart goes out to you. Infidelity is an extremely challenging obstacle to overcome. There are some things that you should consider. First of all, did he seem truly remorseful? If you felt in his heart that he was truly sorry for what he had done, it will give you a piece of mind that it was a mistake.Secondly, was he forthcoming with this information? How about with answering your questions after the truth was uncovered? If you found that he was still lying or not forthcoming, the sting is "
"I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. Im also noticing increased irritability and experiencing anxiety attacks that last for hours","It sounds as if you may be experiencing a bout of anxiety and/or depression. Sleeping difficulties, irritability and anxiety attacks all are correlated with these mood disorders. And its actually quite common for someone to deal encounter this during their lifetime.Also, keep in mind that just because you are experiencing this now does not mean that you will be dealing with it the rest of your life. Many times, it can be a single episode and if treatment is received, you can help prevent any recurrent episo"
"I have no sex drive due to medical issues. Ive shut down completely and closed everyone out. Ive even told my husband that I wanted a divorce since thats what I thought he wanted to hear. However, it devastated me when I learned he's seeing someone else. I","Im sorry to hear about your current situation. My heart goes out to you during this time.First of all, it is of vital importance that you discuss your symptoms with your doctor. Regardless of whether you are able to mend your relationship with your husband, you need to address the physical issues you are experiencing. More than likely he/she will be able to help you relieve some of these symptoms.Secondly, you must be upfront and honest with your husband. Intimacy is a large part of a relationship and it is"
"I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. Im also noticing increased irritability and experiencing anxiety attacks that last for hours","Hi there. I have to commend you on reaching out to get some answers on why you are feeling the way that you are feeling. A lot of people secretly go about their lives every day feeling this way because they are too afraid of what the answer might be.First off, what stressors do you have in your life right now? Financial, relationship and unemployment are all common stressors for people. They can often make it difficult for us to sleep at night due to the constant racing thoughts and wonders of how you will "
"The last of my emotions belong to my pets. Today my dad said he might get rid of them tomorrow. If that does happen I might dig hole in the ground with a paper that says ""here lays my emotions. R.I.P."" I practically have no emotions left and I came to the ","It sounds to me like you have had a lot going on and now you are afraid you are going to lose the last things you care about, your pets. I do not know what all is going on in your family, and I cannot answer for your dads actions or his reasoning behind this.I would recommend that you focus on developing healthy coping skills. We cannot change what others do but we can change how what they do affects us. If you have all of your emotions and all of yourself tied up into one thing (like your pets) then when t"
Me and my girlfriend just broke up. She said she loves me but is not in love anymore. This came out of nowhere. We seemed so happy together. It all started when she went to Missouri to visit her family. The first week she was there she was fine then once s,"I am sorry to hear of these troubles. I see a few issues here. I wonder why you were both trying to get pregnant when the relationship seemed troubled? Some people think that they can fix a broken relationship by getting pregnant, and all this does is bring up more problems.You say you never treated her badly, and I believe you. People in a relationship can still be unhappy even when there is no abuse or mistreatment going on. In fact, giving too much of yourself to the relationship and not having a self ou"
Now I have anger and trust issues. How can I treat this and fix myself?,"I will assume that for whatever reason, you either do not want to or are not able to seek counseling for this. However, I highly urge you to do so because long-term childhood abuse does have negative consequences for your life as an adult, as it seems you are already aware.There are confidential and free crisis hotlines that you can call that deal with sexual abuse. Some/most also offer free counseling services in local areas. That would be a good place to start looking, especially if cost of counseling is "
I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad does,"Hi there. Being 15 years old can be a very difficult time in your teenage life. I remember when I was 15 and how I often felt my parents werent listening to me. Its even more difficult when you feel that you do not have a friend that you can confide in.Having depression in the past and being able to get through it shows me that you can get through anything! Depression alone is a very difficult problem to work through. In addition to the communication problem with your parents, it appears that you are also s"
"I have been with this guy on and off for 8 years. At first, we used to do things together and our sex life was ok. Then things started to change, we'd break up and reconnect, and he cheated on me numerous times. We've also had two beautiful baby girls duri","I don't think youve lost something, I think youve found something - your breaking point, and it's about time. Your boyfriend seems to be a very selfish and immature man who reconnects with you when it's convenient for him. Obviously, he has his own issues, but I want to address yours. I agree you need to talk to someone. The fact that youve put up with his repeated cheating and then letting him blame you for it (by saying you're not affectionate enough, etc.), tells me you probably have low self-esteem and "
"My son claims that hes been having extremely violent thoughts and dreams. Not violent like he's hurting someone, but violent thoughts like horrible things happening to his loved ones. He explained one of his dreams the other day and it was so violent it wa","Let me start my stating this is important to take seriously - taking to his PCP, getting a referral to a pediatric specialist, and getting him to a relational psychotherapist would be my first tasks.I wont label this occurrences as ""normal"" yet it is important to note these things do occur. My first observation is to say that it is a tremendous advantage that your son is communicating what he is experiencing. I'd encourage him to continue to do so, no matter the extent of his thoughts - his trust of you bei"
"Whenever I leave my girlfriend I get panic attacks. I'm taking medications to control them, but I'm thinking of moving in with her since I get so anxious.","Im sorry to hear that you are currently experiencing panic attacks. I hope that the medication you have been prescribed has provided you with some relief. Unfortunately, I dont feel that moving in with your girlfriend would alleviate your anxiety. Although you may feel very anxious about leaving her, your body is reacting to this stressful event in your life in an unhealthy manner. You may be able to render this particular situation but its likely that you may experience another panic attack when an additio"
I need to get on base to see my doctor. My ID card was in my wallet which was stolen. Im unable to reach my husband at this time. He is only one who can take me on base in order to get a new ID so I can continue to see doctor. Is there anything I can do?,"Do you have any other form of identification? The first place to stop would be the Visitors Center or whichever department issues passes. They are located outside of the gate so you do not need a military ID to enter. If you have another form of identification its possible that they can give you a pass in order to go and obtain a new military ID.If you do not, you could always ask someone else to sponsor you on (a friend, coworker, etc.) that have military access. Depending on the threat level, they may not"
"Ive known my boyfriend for several years. We were friends for a long time. In 2013 we started a relationship, and he even asked me to move in with him since I lived out of state. I planned to move in with him in 2014 after I finished school and he found a ","There are plenty of red flags that you have been presented with:Several breakupsNot holding up his end of the bargain regarding workLack of empathy for your miscarriageLying about his involvement with another womanPhysical violence, which is of most concern.This seems to be a very unhealthy relationship. In my experience, relationships such as these rarely become positive ones. Violence is never okay and regardless of his reasoning (you looking through his phone), it is indefensible. You have to look at the"
I am going through a divorce from a narcissistic sociopath who left me for another woman after mentally and emotionally abusing me for 11 years. I have moved to a different state and after giving up my successful business am working as a server at a restau,"I am very sorry to hear of your struggles. I think that it is normal to struggle to get your feet under you again after a divorce, especially after leaving a relationship that lasted 11 years, so try not to be too hard on yourself. Take it one day at a time and do the best you can.I notice that you said he left you. This tells me that you didnt have the strength to leave him on your own despite the fact that you say he was emotionally and mentally abusive and also cheating on you. Low self-esteem can keep s"
"I've been married for 3 years and I have two kids. During my 3-years married, my husband cheated on me twice. The second time really got to me and at my lowest I hurt him back. We aren't communicating as well as I would like. What do I do?","Hi there. Thank you reaching out for help. It takes a lot of courage for someone that is being abused to reach out for help. I want you to know that I am here to help you in any way that I can.First and foremost, you did not mention whether or not you had children yourself by this man. Im going to assume there are. So, the most important thing right at this moment is asking yourself, if you and your children are safe? Is the boyfriend currently living in the home or is he coming and going? If he is coming a"
I have been with my husband for almost 7 years. We got engaged a little after 5 years of being together. I had always been clear that I wanted to get married and I sadly would drop hints about how i wanted him to propose. When he did propose it was during ,"It's hard to let go of the dreams you had regarding your wedding and engagement. This was something that you and most women think about for years, so it's understandable to be disappointed. But please be aware that it is rare that any wedding is perfect. You may envy your friends' weddings but more than likely they had a few mishaps of their own and/or it wasn't as perfect as they had planned it either.However, like you know, the marriage is the most important thing. How many women are envious that you are "
What can I do to stop grieving my mothers death? When I am awake I just cry every day. I don't have anyone to talk to. I need help; I am still cry over her. Will I ever stop crying? Its been 3 years.,"I am sorry that you lost your mother. That is a really hard thing for someone to go through.There is really no set time for grief to be over, but I agree that if it has been three years and you are still crying every day then this is past the time for normal grief. I do not know how old you are and if you are in school or have a job, but I would imagine that if by now you literally were doing nothing but crying every day all day, someone would have noticed and would have gotten you some help. For one thing,"
I'm having issues with my relative. The police never believe the experiences I have been through because I am only a kid. I've even had trouble trying to reach a therapist because I said I wanted to get an adult to help me. Could you please give me advice?,"I think it would be wise for you to call a hotline especially designed for children. It's called the Childhelp National Child Abuse Hotline. The number is 1-800-4-A-CHILD (1-800-422-4453).It is completely anonymous and a trained therapist will be able to provide you with guidance, confidentiality, and can also help you make a report of you want.The call is completely free and they are open 24 hours a day / 7 days a week.I'm glad that you are taking steps to improve your situation. You are a very brave and a"
My wife just last week said she wants a divorce and it's all sudden. I understand that marriages have their ups and downs but I don't understand why she can't tell me why she wants a divorce. Should I fight for my family (daughter and wife)?,"Chances are, if you really think about it, there were signs that something wasnt quite right in your marriage. You may have passed these things off as being the normal ups and downs of a marriage, but whatever it was (or wasn't), it's obviously bothering your wife. I would say yes, keep trying to fight for your family, at least until you know what the problems are from your wife's perspective and if they're repairable. Ask your wife if shes willing to try to work on the marriage and then see a marriage coun"
I loved him more than anything. He passed away on our anniversary which was also the day I was going to apply for our apartment. I'm not handling it well. I moved to a new town and started a new life but nothing helps.,"I am so sorry to hear of your boyfriend's passing. Grief is something that can take a long time to recover from. Have you considered speaking with a grief counselor? Being able to speak with someone that specializes in grief would be very beneficial.Do not get down on yourself for not recovering quickly. This is one of the hardest aspects to deal with in life but eventually you will be able to move forward.In the mean time, immerse yourself with positivity (i.e. Good friends, hobbies, exercise) and try to s"
I did some horrible sexual things as a kid and I regret everything. Can someone help me cope with myself? Can someone help me remember my past?,"I'm very sorry to hear this. Hypnosis can be a valuable tool that a trained therapist can use to bring back suppressed memories. However, keep in mind that hypnosis doesn't work for everyone.I think regardless, speaking with a therapist about your sexual issues would be beneficial. It seems like you have experienced some painful experiences in the past and may need help dealing with them in order to move forward.In addition, if past memories do resurface a trained therapist will be able to help you cope wit"
"I have been with a guy for 4 years, he's a great guy and we also have a son together. The problem is that I'm in love with a guy that I've been talking to for about 2 years but I've never met him in person. Honestly I'm bored with the relationship I have w","Hi there. Wow, this sounds like a sticky situation; however, Im here to help guide you through this decision.First and foremost, you must ask yourself, if you ever loved your sons father or was it a situation to where you two got pregnant and stayed together for the child. Its very common to stay with your partner when a child is involved regardless, if love is involved or not because its the right thing to do. Right? Well, not entirely. Although, staying with your partner because you have a child together "
My boyfriend can't get over my promiscuous past. He says he loves me but says the thought of my past is disgusting and a sexual distraction. He says he should have had more sex with different people. I don't know how to handle this.,"I am sorry to hear of your relationship struggles.One thing I wonder is did you volunteer the information about your past or is this something that he asked about? In the future, it is probably best to leave details out of conversations like this. I think it is common and natural for partners to ask about the sexual history. For one thing, it is a good idea to be checked for STDs before entering into a sexual relationship with someone, and it is fair to share that information with each other. Partners usual"
What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have many friends because of who I am. It's strange I want to be loved but I'd hate to be because I always lose.,"I'm sorry you are feeling uncared for. I'm sure there are plenty of people that care and love for you that you are not taking into consideration. Sometimes when we get upset we may think irrationally and see the world as all or nothing. However, take a deep breath, relax and start focusing on the positive relationships you have with others, regardless of how small or insignificant they may seem. I think you will quickly realize there are people out there that care a great deal about you.I also think it woul"
"What makes my step child, an 8 year old boy, choke my daughter, a 6 year old girl? This has been going on for 4 years. The boy tells my daughter not to tell on him. He knows it's wrong; we have did time out, spanking, taking away toys, and sitting on the w","I can see why you are alarmed. That is a scary situation for a parent. Do you know if the child has been evaluated by a mental health professional? Early treatment is often the key. A professional will be able to help the child learn how to control their anger and mend the troublesome actions into more appropriate responses.Have you addressed your concerns with the child's other parent? There could be contributing factors in his life that could be causing these issues (exposure to violence, sexual/physical "
I have this weird fetish that I'm afraid to open up about it. What should I do?,"This is difficult to answer because you dont tell us what the fetish is. I do understand that this is something that is bothering you though.The first thing to ask yourself is if this is something that is illegal or not. If this is illegal to engage in, then you need to seek counseling help immediately to control the urges.However, if your fetish is not something illegal and you just feel that it is something odd, a therapist could still help you deal with these feelings. You may find that it is something v"
"My coworkers are making false statements about me to the boss, saying I have mood swings. They have no proof to back it up. Can my employer make me see a therapist of their choice?","I cant give you legal advice, but employers can suggest you see someone if your behavior is affecting your job. I believe most government agencies have an Employee Assistance Program (EAP) where employees can talk to a therapist about any issue, not just work-related, for free (up to a certain amount of sessions).Im wondering, though,why your coworkers would tell your boss this if its not true. Is it possible that you're not aware of how your interactions are affecting others? Maybe thisforced counseling ca"
I'm in a state of depression right now. Who can I talk to? I've been sick in a lot of pain and crying. Don't know where to turn.,"First of all, if youre sick and in pain, have you seen your doctor? If you have a chronic illness and pain, this can often lead to depression and is very common. Youve taken the first step to dealing with it. You can talk to your doctor, even if your depression isnt related to your health. He or she can either look at prescribing you an antidepressant or can refer you to a psychologist or psychiatrist.If thats not really an option for you, there arealso helplines (local or national) or support groups where "
"My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal. He has to be right all the time. He",I'm sorry to hear that you are unable to get through to your parents. It sounds like you are experiencing a great deal of anxiety that needs to be addressed by a professional (despite the fact that you are unable to at the moment). I would recommend talking with another adult such as a school counselor that can offer you support in this area. Perhaps they can work with you on your anxiety issues and schedule a meeting with your parents so that he/she may help mediate the conversation with them.If you are un
I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesn't want to discuss it.,"Hi there, first off I have to commend you for reaching out. It takes a lot for a man to reach out for help when it comes to erection problems. Believe it or not, this problem is very common for men and women.There are some things that you can try naturally, before resulting in medication, such as your eating habits and exercise. I would suggest taking a look at what you are consuming throughout the day. Do you consume a healthy diet and do you exercise regularly? How much caffeine and sugar do you intake da"
My husband cheated on me and it hurt me very bad. It was a time when my health was poor. I'm have a hard time moving on.,"How has your husband acted since then? Was he regretful? How did you find out? Did he confess? These are all things that you want to consider. Betrayal is very hard to get over so if it's taking you awhile to get over, know that this is normal.Hopefully you're husband has been very regretful and upfront and honest with you since this happened. It may take awhile to reestablish your trust with him and he should understand this.It's also very important to discuss WHY he cheated. You want to make sure that the"
I've been abused emotionally all of my life and for some reason I keep getting with men that I let emotionally abused me. How can I stop it? I know the mistakes that I've made in my life. I'm having a really hard time getting back on my feet. Can you help ,I want to applaud you for taking this first step towards realizing that this is an issue and wanting to do something about it. You are already on the road to a happier life with this realization. A lot of women do not recognize that it may be something about them that continues to attract a man like this and will only blame it on the men for treating them that way. Until you realize there is a problem you wont start looking for a solution.Dont misunderstand me! The abuse is not your fault! You are seeing a 
I feel like I would be more comfortable as a girl even though I still like girls. I think I'm like a girl stuck in a guy body. I imagine myself as a girl too. I think this more because my friends say that if I was a girl I would be a hot looking one. And I,"I understand that gender and/or sexual identity crises can be very difficult to navigate, although in todays time I think we have made a lot of progress and it is becoming easier for individuals to find themselves and also find acceptance from society.I am unsure how old you are. If you are a child or teenager, this is a normal time to have identity questions and to be in a phase where you are trying to figure out who you are and what you want out of life. I hope that you have understanding and supportive f"
"I've have lived for sometime with depression but things have gotten a lot better, but why is it so hard to get over anxiety and social isolation?","The best way to handle depression and anxiety is with a combination of appropriate medication given to you by a medical doctor, and therapy to help you understand the thoughts, feelings, and behaviors that are causing the depression and anxiety in the first place and then to replace these with more positive thoughts and behaviors. This is not something that anyone should just white knuckle and try to get through on their own with no help. Cognitive Behavioral Therapy is a technique that has been proven help"
"Hello, I have a cousin in my family who has been making me feel belittled, insecure, and frustrated during her stay here in the city. I know she comes from a place of love, but she has always been short-fused and highly temperamental if something doesn't w","Do you have a close friend or relative who's opinion you trust? Ask them for their honest feedback and if they see you like your cousin does. If they dont see these qualities in you, then it may be your cousins issue and shes taking it out on you. You can always ask her what would be the best way to communicate plans with her so you know, specifically, what she is expecting. Then if you meet these expectations and she still blames you and comments on how inconsiderate you are, it's her issue and she is not "
"I have a child with my baby mother. She works I take care of our young son. She says she is not cheating I have not found anything but she always putting me down, telling me to get out and telling me she doesn't love me, but then the next day after our fig","It sounds like you are in a tough situation. You have to ask yourself why you don't want to leave her. Is it because of the child? Or is it because you want the relationship to work? You must consider that being in an abusive relationship is not healthy for you or your child. So if the abuse continues, it would be more beneficial for you and your child to move out.On the other hand, if you are just wanting the relationship to work out despite its current state, you need to evaluate whether the relationship "
"Or how to send him somewhere that can help him, something like The Baker Act.","More information would be needed for me to accurately answer this question, such as your age, whether you live with your dad or not, and what other family members live in the household.Something like this, alcoholism, is a whole family disease. In other words, family members often unknowingly contribute to the alcoholism and enable the alcoholic to continue the destructive behavior.First of all, you cant make your dad do anything, and constantly nagging him or begging him to stop is just going to make him d"
"In particular during family gatherings (such as funerals), where there are different customs.","I think the best thing you can do is be respectful of each family member's wishes. Although everyone may not agree with one another, the most important thing you can do for each other is to respect their faith and beliefs instead of trying to sway them in a certain direction.There are many families that are united despite their differences. For example, a mother may be Catholic and the father Jewish. By introducing the children to each faith until they are ready to decide for themselves can be beneficial.Al"
"I don't know what's wrong with me. At times I can be really happy, excited, I'll talk fast, and I want to do things. But lately I've been staying up way later and sleeping too much. I don't hang out with friends, I don't really have them. I feel nothing, w","I'm sorry to hear that you are feeling as if you're in a slump. First of all, nothing is wrong with you. Many people report similar symptoms. Have you ever talked with a physician regarding your symptoms? Two extreme emotions such as feeling extremely happy and then feeling extremely low for a length of time may indicate a mood disorder. I think it would be best to talk with your doctor or a therapist to help pinpoint the issue causing them.It's possible that it could just be certain stressors in your life "
I'm worried I should see a therapist due to past events and current mental status. I'm just so unsure of how to ask my doctor about seeing someone.,"Thanks for your question. I'm glad you realize that you need extra support and are being proactive. Simply explain to your doctor the feelings you have been experiencing and how you feel that speaking with a mental health therapist would be beneficial. However, keep in mind that you do not have to go into detail about your personal feelings. You can simply state that you are feeling down, overwhelmed, stressed, or whatever it may be.I'm sure your doctor will be glad to direct you from there.Best of luck you"
I feel like my time is going too fast,"Thank you for reaching out! That is a great question! As an American, I can truly say that I spend way too much time on the go! It is a proven fact that Americans live in a fast paced environment compared to Europe! I often ask myself, what if I only had one day left on this Earth? What would I do? Well, that is an easy question. I would spend it with my family! Easier said than done when we are living in a tomorrow kind of World, right? Its hard to focus on the now when we are so consumed in what tomorrow "
I'm worried I should see a therapist due to past events and current mental status. I'm just so unsure of how to ask my doctor about seeing someone.,"Having this kind of conversation with a doctor can feel difficult. But remember, you are the expert on you. Any good medical professional will recognize that.You are absolutely right to think about the importance of being your own health care advocate. Generally, the best approach is simply to be honest. Let your doctor know what you are concerned about and tell your doctor what you think might help. If there is a specific issue that youd like to address in counseling, let you doctor know about it. And dont"
"My last relationships have ended horribly. They just up and abandoned me. One of them I have never gotten closure with over it, leaving me emotionally wrecked. I know something's wrong with me but I don't know how to even start trying to better myself. I g","Frequently when working with clients, I utilize the A-B-C model developed by Albert Ellis, the founder of Rational Emotive Behavior Theory. The theory basically states that you can not control an event but you can control your reaction to the emotions associated with said event. For instance here is an example:A (Action or Event): You need to talk to someone and that person is not calling you back.B (Behavior or Response): You begin to tell yourself that this person is too busy for me or I am not important "
I haven't uttered one word to my boyfriend in days. Now I'm over it and don't know how to approach the situation?,"In any relationship, it is important to be able to say ""I'm sorry"" because it shows vulnerability and openness. I recommend that you sit and have a discussion with him now that you are calm about why you were upset and how you would like to handle such incidents in the future. If you find yourself becoming upset again, I encourage you to take a 20 minute break and then come back to the conversation once you are no longer heated. Studies show that talking or discussing arguments are more effective once you h"
"I've been with my boyfriend over 3 years. He cheated on me and the woman is now pregnant. He is physically and mentally abusive towards me. I have attempted to talk with him in order to resolve our issues; however, he never wants to talk and often blames m","That sounds like a very hurtful situation. Unfortunately, without a batterers intervention course or a desire to change, the abuse cycle is unlikely to stop. I do not recommend that you try to leave on your own due that being the most dangerous time when in an abusive relationship. As an abuser, his goal is to control you whether it's through mental or verbal means. I recommend that you contact a domestic violence shelter in your area. I have worked closely with Harbor House of Central Florida and know they"
I started dating a guy I met online. He told me that he registered sex offender but he didn't do anything. He took a plea to always register as sex offender and he did two years. That was more than two decades ago. Nothing on his record since. I always bel,"Thank you for your question. Trust is a huge thing in relationships and when that is broken, or perceived as being broken, it takes a long time to repair. From what you shared, it sounds like your boyfriend took steps to correct the situation and has shown to be trustworthy since. Unfortunately, no matter how much we apologize for something we did or for something others perceive we did, there will always be those with hardened hearts and will not forgive. If you feel confident in your relationship, then tr"
"About 3 years ago or so I was skinny, but I was still ugly. I really do want to change that but I've tried 3 times. Now can I try but don't stop. At school I get bullied about my weight and my ugliness and I have been bullied my whole life that I believe t","Hey! I am so impressed with your efforts to ask questions, to figure out how to change the messages that you hear (and say to yourself), and to get support! And it sounds like you want to make some changes in your life! Take a walk over to the counseling office at school, the school nurse or consider reaching out to your Pediatricians office. You dont have to have your parents permission to seek support for yourself! And maybe taking control of your support network will give you the strength to make even bi"
"A few nights ago I talked to this girl I know about my self esteem issues for the first time. We talked for hours and she told me time and again that I was a great guy. She told me I was attractive, and have a great personality, etc. I really started to fe","Hey! It takes a lot of courage to share your feelings with someone! And it sounds like you have been lucky to meet someone who makes you feel safe enough to explore some of your more painful feelings. A big part of the process, however, of strengthening your self-concept is learning how to tell yourself those positive messages that you heard from your friend! Leaving for college may also be contributing to your feelings of unsteadiness. Try this - Make a list of all of the positive things that you know are "
"She cried because she lost all trust in me. Now I feel disgusting and like my heart just got stabbed, what do I do?","Hey! Sounds like the part of you that knows the RIGHT thing to do won here! I am so proud of you for admitting that you lied to your Mom! Sometimes lies come out of our mouths before we can even catch them because we are trying to say what the other person wants to hear. I bet that, as you begin to show her that you are not going to lie any more, she will begin to gain trust in you again! Be open with your feelings with you Mom - she is there to support you, guide you and love you! Give her lots of hugs - a"
"When having sex I think of other men and want other men all day long. Been married 3 years, together 14. What do you think?","Sustaining passion in marriage is tough stuff. It's a relatively modern dilemma you are facing with perhaps unrealistic expectations of what marriage ""should"" be. It sounds like your definitions of love and sexual passion have merged together, that's both common and confusing! Intimacy and sexuality within your marriage are bound to ebb and flow. Resparking your passion will involve growing. Using your sexual drama and fantasies as windows into discovering your needs (security) and wants (desires). Marriage"
We make love once per month. Is it normal?,"To begin with, what's normal for one couple isn't going to be normal for the next, every couple has their own normal and that's important to keep in mind. Your sexual lives will ebb and flow. What I'd be more curious about is the quality rather than the quantity of the sex you are having. I'd also want you both to refocus on building up your little daily moments of connection, I wrote a post about exactly that a while back and you can find it here."
"In this argument my friends are all against me so I'm wondering if I'm exaggerating my feelings. I feel like I'm being attacked and that is making me blow things out of proportion and taking the role of the victim, when in reality I'm the one being unreaso","Conflict is a tricky beast and shows up in everyone of our relationships.What I'm reading is that you find yourself in a loop of seeking validation of your thoughts and feelings from your friends rather than validating yourself. Am I right? If you aren't validating yourself, no one else will be able to either. Try finding a small nugget of truth in the feedback your friends give you, this will help to lower your defenses and help your friends hear what you are really sharing. And then if you are still feeli"
I am always down and out. Could this be postpartum depression?,"Probably. I always tell the new parents I work with (and this is just as true for dads as it is for moms) that if you are feeling off, seek help. Postpartum Support International (www.postpartum.net) is a great place to start finding resources and locating support."
I am married to a beautiful lady. I love my wife with all my heart. We have 3 boys and I have a daughter from a previous marriage. We also have 3 grandchildren. Now this event is tearing us apart. I want our family to be together and happy. It was a mistak,"If your wife is willing, seek out a qualified couples therapist! Look for one trained in the Gottman Method or Emotionally Focused Therapy. Your relationship is repairable, but you may need some qualified support in the process."
